"channelSeq","channelName","clipNo","title","synonym","vodid","playtime"
148,"우주소녀(WJSN)",81674,"[성소] 생일 축하해줘서 고마워요","vlive,v live,우주소녀,우주,소녀,WJSN,성소,CHENGXIAO,해피성소데이,해피벌스데이성소,생일축하해성소,생축성소,해피벌스데이,해피,벌스데이,생일축하해,생축,생일,축하해","5A34F592E26FF3E8C3325CAA732847BA922E",614
148,"우주소녀(WJSN)",24329,"[루다] HAPPY LUDA DAY 🎂","우주,소녀,우주소녀,WJSN,宇宙少女,루다,LUDA,눕방,누워서하는방송,누워서,하는,방송,생일축하노래,생일,축하,노래,생일축하","6FCCDD3B5C3327BC03A2141B435665847E88",2071
148,"우주소녀(WJSN)",100435,"[은서] 오늘의 이야기 Ep.02","vlive,v live,우주소녀,WJSN,우주,소녀,설아,은서,EUNSEO","DFFF443C91FFCDE2C338D29DE8F782F5BD3F",1215
148,"우주소녀(WJSN)",83221,"[연정] 뎡탄절 브이앱이 왔어요💕 ","vlive,v live,우주소녀,WJSN,우주,소녀,연정,Yeonjung,연정생일,생일,해피,데이,해피연정,해피연정데이,연정데이","10695FBD8F305A809E91DA04BD8A5E14F576",1309
148,"우주소녀(WJSN)",58329,"[여름] 우주나잇 - 여름보이스","우주소녀,우주,소녀,WJSN,여름,Yeoreum,보이스,온리,보이스온리,여름보이스온리,우주보이스","7DB58598C62412C298161D496879EB567A69",772
148,"우주소녀(WJSN)",24880,"[연정] 같이 걸을까요? ♥","우주,소녀,우주소녀,WJSN,宇宙少女,Cosmic,Girls,CosmicGirls,코스믹,걸스,걸즈,코스믹걸스,코스믹걸즈,연정,YEONJUNG,산책,연정산책,우주소녀연정산책,","78254E25D30788575B9DB1B943DB31A9A2C7",967
148,"우주소녀(WJSN)",26969,"보나랑엑시심심해ㅠ.ㅠ","우주소녀,우주,소녀,WJSN,설아,SEOLA,엑시,EXY,보나,BONA,성소,CHENGXIAO,CHENG,XIAO,은서,EUNSEO,다영,DAYOUNG,다원,DAWON,수빈,SOOBIN,선의,XUANYI,XUAN,YI,여름,YEOREUM,루다,RUDA,연정,YEONJUNG,대기실라이브,대기실,라이브 ","B947813882A3121BC5BD021DC9E8493B2099",808
148,"우주소녀(WJSN)",59367,"[보나] 우주나잇 - 보나보이스","우주소녀,우주,소녀,WJSN,보나,Bona,보나보이스온리,보이스온리,온리,우주보이스","C5A0B9248E4498B022A9C6C8BCBD22996D1D",1214
148,"우주소녀(WJSN)",86531,"[보나]늦었지만 뽀탄절 감사합니다😘","vlive,v live,우주소녀,우주,소녀,WJSN,보나,BONA,해피벌스데이보나,해피보나데이,생일축하보나,생축보나,해피벌스데이,해피,벌스데이,보나데이,생일축하,생축,생일,축하","63EF946989F357F8A43624E10033CB9032CF",594
148,"우주소녀(WJSN)",58608,"[미기] 우주나잇 - 미기보이스","우주소녀,우주,소녀,WJSN,미기,Meiqi,보이스,온리,보이스온리,미기보이스온리,우주보이스","D67F5CF93D8CE430EB6285E79D100B49D5F3",924
148,"우주소녀(WJSN)",58927,"[엑시] 우주나잇 - 엑시보이스","우주소녀,우주,소녀,WJSN,엑시,Exy","B6691B4AA6BC401618C769B55D59987780AB",1301
148,"우주소녀(WJSN)",98137,"[루다] 루다와 카페데이트 ☕ Ep.02","vlive,v live,우주소녀,WJSN,우주,소녀,루다,Luda,루다와카페데이트2화,루다와카페데이트2회,2화,2회,에피소드2,에피2,애피소드2,애피2","66A7DE7E3531D7D1B4CC4F3D181E67D1BF1E",2036
435,"B1A4+",53258,"[REPLAY] 메리크리스마스","B1A4,B1,A4,비원에이포,비원,에이포,산들,sandeul,다시보기,다시,보기,리플레이","C3CC14845CD7B9C8BD10141B435665847E88",1864
435,"B1A4+",105590,"[REPLAY] 산들 VLOG '클라이밍' EP.01","vlive,v live,B1A4,비원에이포,B1,A4,비원,에이포,산들,Sandeul,B1A4채널플러스다시보기,비원에이포채널플러스다시보기,다시보기,다시,보기,채널플러스,산들브이로그클라이밍에피소드1,산들브이로그클라이밍에피소드1화,산들브이로그클라이밍에피소드1회,에피소드,1화,1회,산들브이로그,브이,로그","A8FAD5648EB2AF663AA02640A3CA92926BC8",2913
435,"B1A4+",69767,"[REPLAY]공연 1시간 전😎","리플레이,다시,보기,다시보기,B1A4,비원에이포,비원애이포,비포,뵤네뽀,바로,Baro","339F39B35BCC66E16A58767985AB1B506084",1431
435,"B1A4+",26380,"[REPLAY]바나들아","신우,CNU,비원,에이포,비원에이포,B1,A4,B1A4,Shinwoo,신우게임","3AA37CB87051913F6BAF84E49B65315D787C",120
435,"B1A4+",44748,"[REPLAY] 패션위크 가는기일🤙","B1A4,비원에이포,B1,A4,비원,에이포,바로,baro,다시보기,다시,보기,리플레이","F8A99B27B914D1B6BC39BA6B3D1A47100729",1149
435,"B1A4+",36535,"[REPLAY] 신우 햄릿 마지막 공연 퇴근길","B1A4,B1,A4,비원에이포,비원,에이포,신우,CNU,다시보기,다시,보기,리플레이","88A2F4F5DF3C64F651C84304CA058CC3AD52",699
435,"B1A4+",40115,"[REPLAY] 석태왔다~~!!","B1A4,B1,A4,비원에이포,비원,에이포,바로,baro,다시보기,다시,보기,리플레이","0059D866C9249B445121B9F35E9BB7398AFC",1417
435,"B1A4+",45833,"퇴근길 v라이브!","B1A4,B1,A4,비원에이포,비원,에이포,진영,Jinyoung","1CE1B6AFC1250057915649DC06CD2B46F0DB",935
